번호,구분,전계강도(dB㎶/m),위도,경도,주파수,비고
1,송신소(강원 TBN),32.9,37.2438935,127.7365164,105.9MHz,
2,송신소(강원 TBN),32,37.4032039,127.5435583,105.9MHz,
3,송신소(강원 TBN),51.5,37.2527284,127.6512241,105.9MHz,
4,송신소(강원 TBN),32.5,37.238012,127.4988646,105.9MHz,
5,송신소(강원 TBN),51,37.2828869,127.6334472,105.9MHz,
6,송신소(강원 TBN),50.4,37.252768,127.588074,105.9MHz,
7,송신소(강원 TBN),45.1,37.3726004,127.524483,105.9MHz,
8,송신소(강원 TBN),32.3,37.2362753,127.2940317,105.9MHz,
9,송신소(강원 TBN),55,37.343843,127.93318,105.9MHz,
10,송신소(강원 TBN),53,37.32233,127.960974,105.9MHz,
11,송신소(강원 TBN),30.1,37.3133867,127.8233446,105.9MHz,
12,송신소(강원 TBN),39,37.4137918,127.959483,105.9MHz,
13,송신소(강원 TBN),48,37.393291,127.985035,105.9MHz,
14,송신소(강원 TBN),44,37.3890194,127.9883211,105.9MHz,
15,송신소(강원 TBN),60,37.341142,127.921197,105.9MHz,
16,송신소(강원 TBN),47,37.368471,127.931723,105.9MHz,
17,송신소(강원 TBN),53,37.3324699,127.9450214,105.9MHz,
18,송신소(강원 TBN),50.1,37.3407999,127.878305,105.9MHz,
19,송신소(강원 TBN),50,37.4009659,127.9480522,105.9MHz,
20,송신소(강원 TBN),43,37.28885,127.996121,105.9MHz,
21,송신소(강원 TBN),39.9,37.355438,127.901121,105.9MHz,
22,송신소(강원 TBN),48,37.306293,127.924419,105.9MHz,
23,송신소(강원 TBN),35,37.276665,127.906825,105.9MHz,
24,송신소(강원 TBN),47,37.303723,127.916749,105.9MHz,
25,송신소(강원 TBN),34.9,37.1244345,127.6679987,105.9MHz,
26,송신소(강원 TBN),13.3,37.1138798,127.6407847,105.9MHz,
27,송신소(강원 TBN),39.6,37.2417246,127.3615581,105.9MHz,
28,송신소(강원 TBN),30.2,37.2780774,127.3879936,105.9MHz,
29,송신소(강원 TBN),35.8,37.288201,127.491667,105.9MHz,
30,송신소(강원 TBN),46.4,37.3035788,127.4034689,105.9MHz,
31,송신소(강원 TBN),46.6,37.2451155,127.4943506,105.9MHz,
32,송신소(강원 TBN),25.5,37.115242,127.6098333,105.9MHz,
33,송신소(강원 TBN),42,37.2448323,127.4350231,105.9MHz,
34,송신소(강원 TBN),34.1,37.2360277,127.4246077,105.9MHz,
35,송신소(강원 TBN),40.2,37.1377173,128.0234918,105.9MHz,
36,송신소(강원 TBN),34.6,37.1239685,128.0008277,105.9MHz,
37,송신소(강원 TBN),38,37.5301513,127.9586729,105.9MHz,
38,송신소(강원 TBN),14.4,37.4150194,128.1563319,105.9MHz,
39,송신소(강원 TBN),37,37.4467638,128.0635344,105.9MHz,
40,송신소(강원 TBN),38,37.7113468,129.0062721,105.5MHz,
41,송신소(강원 TBN),58,37.7748846,128.8726003,105.5MHz,
42,송신소(강원 TBN),65,37.7749639,128.8462284,105.5MHz,
43,송신소(강원 TBN),63,37.6943092,128.888725,105.5MHz,
44,송신소(강원 TBN),54,37.711821,128.90671,105.5MHz,
45,송신소(강원 TBN),50,37.8184856,128.8555646,105.5MHz,
46,송신소(강원 TBN),55,37.76129,128.934445,105.5MHz,
47,송신소(강원 TBN),48,37.749857,128.8365392,105.5MHz,
48,송신소(강원 TBN),55,37.7186898,128.8298741,105.5MHz,
49,송신소(강원 TBN),46,37.7157929,128.8308956,105.5MHz,
50,송신소(강원 TBN),62,37.8632946,128.8269219,105.5MHz,
51,송신소(강원 TBN),40,37.8351022,128.6989557,105.5MHz,
52,송신소(강원 TBN),60,37.8587979,128.8370196,105.5MHz,
53,송신소(강원 TBN),37,37.5336093,128.9666571,105.5MHz,
54,송신소(강원 TBN),53,37.672783,128.8356805,105.5MHz,
55,송신소(강원 TBN),50,37.7373611,128.9158809,105.5MHz,
56,송신소(강원 TBN),51,37.910028,128.815739,105.5MHz,
57,송신소(강원 TBN),60,,,105.5MHz,
58,송신소(강원 TBN),25,37.9616573,128.5737874,105.5MHz,
59,송신소(강원 TBN),32.9,37.9145582,128.7878999,105.5MHz,
60,송신소(강원 TBN),52,37.6840578,128.7519382,105.5MHz,
61,송신소(강원 TBN),62,37.6865426,128.6992792,105.5MHz,
62,송신소(강원 TBN),33,37.670242,128.599678,105.5MHz,
