index,location,field_strength,lat,lng,bigo
1,효자동 은화학교 정문,64.9,35.819245,127.086314,
2,효자동 이동교,66,35.8136106,127.1097824,
3,평화동 문정초,70.1,35.7751432,127.092457,
4,구이면 광곡리 불재도로,72,35.735106,127.1494176,
5,임실군 운암면 영어체험학습정문,71.3,35.6612685,127.0893825,
6,구이면 마암리 막은댐,66.4,35.6238464,127.1072668,
7,칠보면 한전 수력발전소,65,35.598427,127.007337,
8,정읍시 용동면 용호리 입구,65.1,35.6749362,126.9749095,
9,원평 월평리 국도714 이동철탑,68,,,
10,금산사 IC 화암마을 입구,55.5,35.7365066,126.9867128,
11,김제IC 금구방향 금구간선 235한전주,66.3,35.7751968,127.0002202,
12,이서 이성저수지 산골농장입구,62.5,35.8072466,127.0483047,
13,익산시청 주변,37.05,36.0132886,126.8926333,35~39.1
14,낭산면 일대,40.05,36.0630271,126.9848733,30.2~50.8
15,금마면 일대,42.45,36.0065094,126.9995519,31.1~53.8
16,망성면 일대,23.3,36.1135705,126.9793973,18.3~28.3
17,용동면 일대,40.35,36.109446,126.9582291,30.2~50.5
18,황등면 일대,43.6,36.0239303,126.9021487,34.8~52.4
19,함열면 일대,43.55,36.0610147,126.930993,34.8~52.3
20,함라면 일대,46.35,36.0403131,126.8665758,38~54.7
21,춘포면 일대,52.6,35.9264995,126.9849828,44.7~60.5
22,삼기면 일대,48,36.0182805,126.9832927,45.2~50.8
23,서수면 일대,43.75,36.0031597,126.8435017,36.5~51
24,개정면 일대,38.3,35.9619094,126.7670646,39.2~37.4
25,군산시청 일대,35.3,36.0193906,126.7475869,31~39.6
26,은파유원지 일대,30.25,35.949836,126.6256499,23.1~37.4
27,미룡주공3단지 아파트,33.6,35.942441,126.6880114,
28,국가산업단지 일대,32.1,35.9424205,126.6199832,29.6~34.6
29,새만금방조제 일대,39.8,35.820222,126.480564,37.6~42
30,고군산군도 일대 ,32.7,35.8156272,126.461715,20.8~44.6
31,고군산군도~가력도항,42.85,35.7634404,126.5023764,39.6~46.1
32,회현면 일대,48.3,35.9064296,126.7215532,42~54.6
33,진동면 일대,37.2,35.6042653,126.6066141,33.1~41.3
34,광활면 일대,40.8,35.8315307,126.663607,35.7~45.9
35,성덕면 일대,41.9,35.8199616,126.7681253,35.5~48.3
36,김제시청 일대,50.5,35.8035179,126.8783323,41.1~59.9
37,죽산면 일대,48.05,35.7693019,126.7722781,36~60.1
38,부량면 일대,53.75,35.7370254,126.8261357,46.5~61
39,감곡면 일대,57.05,35.7219797,126.8951297,53.6~60.5
40,황산면 일대,48.65,35.7893654,126.9255311,36.1~61.2
41,봉남면 일대,50.55,35.744962,126.9346585,37.6~63.5
42,원평버스터미널 일대,64.7,35.712284,",126.989394",61.4~68
43,태인면 일대,48.25,35.6463603,126.8970922,32.8~63.7
44,신태인 공용터미널,26.4,35.690223,126.885387,
45,정우면 일대,55.15,35.6464418,126.8528765,50~60.3
46,이평면 일대,49.5,35.6684629,",126.8097238",38.5~60.5
47,영원면 일대,42.1,35.6533215,126.7290939,27.5~56.7
48,정읍시 일대,42.2,35.5758987,126.8419975,23.4~61
49,소성면 일대,42.45,35.5530297,126.7446066,37.6~47.3
50,입암면 일대,36.95,35.5060882,126.7606617,33.4~40.5
51,성내면 일대,43.15,35.5331593,126.7086461,39.8~46.5
52,흥덕 터미널,48.9,35.519064,126.697118,
53,신림면 일대,29.8,35.4774265,126.6835455,25.3~34.3
54,고수면 일대,24.4,35.3897777,126.6464067,17~31.8
55,주산면 일대,44.85,35.6673965,126.6716147,37.1~52.6
56,부안군청 일대,38.9,35.7318083,126.7312929,33.3~44.5
57,동진면 일대,53.35,35.7604725,126.7060417,49.8~56.9
58,계화면 일대,47.45,35.7783309,126.6304524,42.4~52.5
59,백산면 일대,47.65,35.7072387,126.7526227,44~51.3
60,관촌면 일대,43.65,35.7091948,127.232385,41.3~46
61,임실역 일대,46,35.632145,127.287259,
62,임실 군청 일대,32.3,35.617804,127.2869102,27.2~37.4
63,임실읍 일대,34.55,35.589647,127.2021752,23.6~45.5
64,오수역 ,39.9,35.5414829,127.3187102,
