index,location,field_strength,lat,lng,bigo
1,덕과면 일대,44.2,35.5229718,127.3360344,34.5~53.9
2,보절면 일대,43.9,35.5120385,127.3789914,34.6~53.2
3,남원시내 일대,34.75,35.4137987,127.3745475,26.4~43.1
4,운봉읍 일대,43.5,35.4269664,127.4996061,36.4~50.6
5,인월면 일대,41.3,35.4617304,127.5766493,
6,산내면사무소 일대,31.45,35.4192221,127.6209942,30.5~32.4
7,뱀사골 야영장,20.8,35.3710882,127.5760552,
8,선유폭포,38.8,35.3666091,127.505225,
9,주천면 일대,31.35,35.3810668,127.4276935,27.5~35.2
10,송동면 일대,39.25,35.3508381,127.3143789,38.1~40.4
11,주생역,35.65,35.378329,127.317374,29.9~41.4
12,수홍리 일대,18.2,35.4046535,127.2509999,17.8~18.6
13,남원 IC일대,24.95,35.4299669,127.3962929,22.6~27.3
14,유등면 일대,27.15,35.375234,127.1690547,20.8~33.5
15,적성면 일대,23.4,35.4319735,127.1805739,21.9~24.9
16,마령면 일대,25.1,35.7413241,127.3232789,
17,진안시외버스터미널,24.5,35.792215,127.4289207,
18,용담면 일대,23.1,35.9474528,127.4633692,18.1~28.1
19,산서면 사무소,40.7,35.5840319,127.3940947,38.5~42.9
20,마하리 일대,33.45,35.5881081,127.4178793,30.3~36.6
21,용계리 일대,50.1,35.6123526,127.468126,33.9~66.3
22,장수수남초등학교,38.6,35.6250844,127.505222,
23,장수군청 일대,47,35.6473043,127.5190256,35.8~58.2
24,계남면 일대,36.15,35.6854129,127.5077902,27.8~44.5
25,장계면 일대,32.5,35.7107603,127.5375887,30.9~34.1
26,장계 농공단지,35.1,35.743044,127.5870166,
27,계북면 일대,35.85,35.7934057,127.5965939,35.7~36
28,진안군 백운면 신암리 산 48-2 (1920B811),,,,
29,장수군 장수읍 노하1길 10-1,,,,
30,장수군 장수읍 개정리 686-2 (개정교),,,,
31,장수군 장수읍 대성리 530-1,,,,
32,남원시 보절면사무소,,,,
33,임실군 지사면사무소,,,,
34,장수군 산서면 이룡리 157-3 (오룡주유소),,,,
35,임실군 지사면 영천리 1012 (선원교),,,,
36,남원시 덕과면 덕오로 382-48 (고정교),,,,
37,임실군 성수면 양지리 267-2 (성수면사무소),,,,
38,진안군 백운면 신암리 184-1,,,,
39,진안군 백운면 신암리 산 62-6 (2019G561),,,,
