index,location,field_strength,lat,lng
1,광양사거리,61.2,33.5007357,126.5269491
2,시외버스터미널,63.9,33.499696,126.5127434
3,오라오거리,65.1,33.500291,126.5038679
4,오일시장 앞,54.6,33.4969018,126.4731996
5,하나로마트 하귀지점,59.4,33.4848191,126.4095993
6,하귀서측입구,56.8,33.4767285,126.4032956
7,구엄초교,53.9,33.4742364,126.3736029
8,애월고교앞,47.8,33.462439,126.332758
9,금성사거리,36.1,33.4444332,126.2984716
10,귀덕새마을금고앞,41.1,33.4398779,126.2807789
11,용운삼거리,28.7,33.4327397,126.2744464
12,새못사거리,38.5,33.3785508,126.2240078
13,서부하수종말처리장,35.8,33.3704403,126.2045098
14,두모삼거리,37.6,33.3562472,126.1850675
15,용당교차로,39.9,33.2551257,126.5385369
16,신도2교차로,52.3,33.2748123,126.1866803
17,일과사거리,54.5,33.2444553,126.2232331
18,동일교차로,41.7,33.2306517,126.2433982
19,덕수초교앞,54.1,33.2516224,126.3023089
20,안덕계곡입구,51.8,33.2573447,126.3506932
21,창천삼거리,43.1,33.2650108,126.3694135
22,무수천 사가로,45.7,33.4600448,126.4446243
23,제주외고,41.5,33.4337606,126.4236471
24,렛츠런파크,33.8,33.410431,126.391205
25,어음 2교차로,32.3,33.380164,126.3690498
26,봉성교차로,43.3,33.3519449,126.3574404
27,광평교차로,34.7,33.3308362,126.3524136
28,제1동광교,52.7,33.5032633,126.532643
29,하원밭교차로,63.6,33.290615,126.458655
30,서광1교차로,87.3,33.2885628,126.3220562
31,덕수2교차로,57.3,33.2751753,126.3091689
32,안성교차로,57.7,33.2500111,126.2818108
33,용당교차로,45.9,33.2551257,126.5385369
34,한원리교차로,45.9,33.3354998,126.1948726
35,조수삼거리,50,33.335167,126.2245087
36,조수1리교차로,42.8,33.3357503,126.2264252
37,수동마을회관,36.9,33.521822,126.8652783
38,저지오름주차장,40.8,33.3349144,126.2459209
39,저지보건진료소,50.8,33.3348897,126.2539782
40,라온CC입구,41.9,33.3448687,126.2760512
41,오자교,33.6,33.3509994,126.2847581
42,금악리교차로,35.2,33.3571054,126.2948701
43,라온목장,47.9,33.3485833,126.30364
44,이시돌삼거리,48.1,33.344665,126.314535
45,성이시돌젊음의집,47.5,33.343316,126.3234544
46,케슬렉스제주,51.2,33.3400037,126.3464954
47,광평교차로,47.8,33.3308362,126.3524136
48,산도스카발리오 홀스파크,62.5,33.3334316,126.3681194
49,광평입구교차로,48.5,33.3275869,126.3776335
50,핀크스GC,59.8,33.315338,126.386494
51,롯데스카이힐제주CC,50.8,33.2872633,126.4031409
52,레이크힐 제주CC,52.8,33.3018686,126.4333234
53,중문천,39.4,33.274093,126.424825
54,클럽이에스리조트,39.3,33.2895931,126.4535813
